M,D,ε,R
1.7916e25,7.27955931317221e10,1.0e-12,1.4903387250154827e7
1.7916e25,8.215200157175165e10,1.0e-12,1.460263168997545e7
1.7916e25,9.271098801314798e10,1.0e-12,1.4398955402483141e7
1.7916e25,1.0462711965534886e11,1.0e-12,1.4159188605439233e7
1.7916e25,1.1807483020051779e11,1.0e-12,1.4000041926012522e7
1.7916e25,1.3325097329264297e11,1.0e-12,1.3873647438323941e7
1.7916e25,1.5037770414984564e11,1.0e-12,1.368041908407476e7
1.7916e25,1.697057315725215e11,1.0e-12,1.3617318672359202e7
1.7916e25,1.9151798793168564e11,1.0e-12,1.3598317745763127e7
1.7916e25,2.1613377086045517e11,1.0e-12,1.3552280467201587e7
1.7916e25,2.4391341727661914e11,1.0e-12,1.351478620102537e7
1.7916e25,2.752635781567402e11,1.0e-12,1.3476744556545164e7
1.7916e25,3.106431712763152e11,1.0e-12,1.3441668807263646e7
1.7916e25,3.50570099054869e11,1.0e-12,1.3379633284951013e7
1.7916e25,3.95628829844846e11,1.0e-12,1.3361965858136091e7
1.7916e25,4.4647895364260455e11,1.0e-12,1.3323325408141112e7
1.7916e25,5.0386483746387146e11,1.0e-12,1.3315729965553276e7
1.7916e25,5.686265217233893e11,1.0e-12,1.3304273971575875e7
1.7916e25,6.417120171248813e11,1.0e-12,1.330638684524642e7
1.7916e25,7.241911820687164e11,1.0e-12,1.3297205669743659e7
1.7916e25,8.172713837210608e11,1.0e-12,1.3295328155240541e7
1.7916e25,9.223151719982683e11,1.0e-12,1.330821961269738e7
1.7916e25,1.0408602251862667e12,1.0e-12,1.330003468721197e7
1.7916e25,1.1746418591678938e12,1.0e-12,1.3281087868330516e7
1.7916e25,1.3256184297584172e12,1.0e-12,1.3238615334704474e7
1.7916e25,1.4960000000000024e12,1.0e-12,1.3214388130659608e7
1.7916e25,4.4880000000000084e10,1.0e-14,1.6305770210922133e7
1.7916e25,5.064842076179947e10,1.0e-14,1.5717804063351307e7
1.7916e25,5.7158255919435715e10,1.0e-14,1.5418079933713056e7
1.7916e25,6.450479937206279e10,1.0e-14,1.4845301644478664e7
1.7916e25,7.27955931317221e10,1.0e-14,1.4580711846685996e7
1.7916e25,8.215200157175165e10,1.0e-14,1.4236783634989366e7
1.7916e25,9.271098801314798e10,1.0e-14,1.4054297280169146e7
1.7916e25,1.0462711965534886e11,1.0e-14,1.3871586827207044e7
1.7916e25,1.1807483020051779e11,1.0e-14,1.366283461152175e7
1.7916e25,1.3325097329264297e11,1.0e-14,1.3401999057504972e7
1.7916e25,1.5037770414984564e11,1.0e-14,1.327723010916593e7
1.7916e25,1.697057315725215e11,1.0e-14,1.3167283905037137e7
1.7916e25,1.9151798793168564e11,1.0e-14,1.3096637495046692e7
1.7916e25,2.1613377086045517e11,1.0e-14,1.3032899127427688e7
1.7916e25,2.4391341727661914e11,1.0e-14,1.288656205389572e7
1.7916e25,2.752635781567402e11,1.0e-14,1.2706047070049854e7
1.7916e25,3.106431712763152e11,1.0e-14,1.267484940410857e7
1.7916e25,3.50570099054869e11,1.0e-14,1.2545287194458704e7
1.7916e25,3.95628829844846e11,1.0e-14,1.245353671169086e7
1.7916e25,4.4647895364260455e11,1.0e-14,1.2336922986235626e7
1.7916e25,5.0386483746387146e11,1.0e-14,1.2298608373791942e7
1.7916e25,5.686265217233893e11,1.0e-14,1.2276132673794687e7
1.7916e25,6.417120171248813e11,1.0e-14,1.231159459901118e7
1.7916e25,7.241911820687164e11,1.0e-14,1.229224160474026e7
1.7916e25,8.172713837210608e11,1.0e-14,1.225458907391441e7
1.7916e25,9.223151719982683e11,1.0e-14,1.2229979611675402e7
1.7916e25,1.0408602251862667e12,1.0e-14,1.2189163786390312e7
1.7916e25,1.1746418591678938e12,1.0e-14,1.2188471115880651e7
1.7916e25,1.3256184297584172e12,1.0e-14,1.2093737968743568e7
1.7916e25,1.4960000000000024e12,1.0e-14,1.1900841763654353e7
2.9860000000000004e25,4.4880000000000084e10,1.0e-8,2.1175172075407982e7
2.9860000000000004e25,5.064842076179947e10,1.0e-8,2.1135308047079556e7
2.9860000000000004e25,5.7158255919435715e10,1.0e-8,2.110259526175688e7
2.9860000000000004e25,6.450479937206279e10,1.0e-8,2.1081690294028714e7
2.9860000000000004e25,7.27955931317221e10,1.0e-8,2.1064712368085757e7
2.9860000000000004e25,8.215200157175165e10,1.0e-8,2.104556026859311e7
2.9860000000000004e25,9.271098801314798e10,1.0e-8,2.1031650531200044e7
2.9860000000000004e25,1.0462711965534886e11,1.0e-8,2.102417391154311e7
2.9860000000000004e25,1.1807483020051779e11,1.0e-8,2.1016332660382785e7
2.9860000000000004e25,1.3325097329264297e11,1.0e-8,2.1005575401372742e7
2.9860000000000004e25,1.5037770414984564e11,1.0e-8,2.100331932900649e7
2.9860000000000004e25,1.697057315725215e11,1.0e-8,2.1006130441779654e7
2.9860000000000004e25,1.9151798793168564e11,1.0e-8,2.1008746579900194e7
2.9860000000000004e25,2.1613377086045517e11,1.0e-8,2.103175938527629e7
2.9860000000000004e25,2.4391341727661914e11,1.0e-8,2.1022915971265655e7
2.9860000000000004e25,2.752635781567402e11,1.0e-8,2.1023254219637383e7
2.9860000000000004e25,3.106431712763152e11,1.0e-8,2.1022511023688894e7
2.9860000000000004e25,3.50570099054869e11,1.0e-8,2.1013600399766214e7
2.9860000000000004e25,3.95628829844846e11,1.0e-8,2.1016098806854278e7
2.9860000000000004e25,4.4647895364260455e11,1.0e-8,2.1017501782704443e7
2.9860000000000004e25,5.0386483746387146e11,1.0e-8,2.1016029755942408e7
2.9860000000000004e25,5.686265217233893e11,1.0e-8,2.102697736418183e7
2.9860000000000004e25,6.417120171248813e11,1.0e-8,2.1018339599473465e7
2.9860000000000004e25,7.241911820687164e11,1.0e-8,2.1014187678328328e7
2.9860000000000004e25,8.172713837210608e11,1.0e-8,2.112397137504527e7
2.9860000000000004e25,9.223151719982683e11,1.0e-8,2.100300629594971e7
2.9860000000000004e25,1.0408602251862667e12,1.0e-8,2.1009689772271328e7
2.9860000000000004e25,1.1746418591678938e12,1.0e-8,2.100707640853461e7
2.9860000000000004e25,1.3256184297584172e12,1.0e-8,2.0982492826567873e7
2.9860000000000004e25,1.4960000000000024e12,1.0e-8,2.0982697444687862e7
2.9860000000000004e25,4.4880000000000084e10,1.0e-10,1.764131432915293e7
2.9860000000000004e25,5.064842076179947e10,1.0e-10,1.7392046560198378e7
2.9860000000000004e25,5.7158255919435715e10,1.0e-10,1.7243829414621815e7
2.9860000000000004e25,6.450479937206279e10,1.0e-10,1.7096902803312626e7
2.9860000000000004e25,7.27955931317221e10,1.0e-10,1.6978686016465034e7
2.9860000000000004e25,8.215200157175165e10,1.0e-10,1.6869005775452245e7
2.9860000000000004e25,9.271098801314798e10,1.0e-10,1.680835307483034e7
2.9860000000000004e25,1.0462711965534886e11,1.0e-10,1.6744228842621295e7
2.9860000000000004e25,1.1807483020051779e11,1.0e-10,1.6717455902323963e7
2.9860000000000004e25,1.3325097329264297e11,1.0e-10,1.6702788925891384e7
2.9860000000000004e25,1.5037770414984564e11,1.0e-10,1.6679305875141798e7
2.9860000000000004e25,1.697057315725215e11,1.0e-10,1.6675616068666643e7
2.9860000000000004e25,1.9151798793168564e11,1.0e-10,1.6683698689637428e7
2.9860000000000004e25,2.1613377086045517e11,1.0e-10,1.6683035820101697e7
2.9860000000000004e25,2.4391341727661914e11,1.0e-10,1.6675023617574997e7
2.9860000000000004e25,2.752635781567402e11,1.0e-10,1.6667442749765001e7
2.9860000000000004e25,3.106431712763152e11,1.0e-10,1.6672722507238494e7
2.9860000000000004e25,3.50570099054869e11,1.0e-10,1.6660031687549504e7
2.9860000000000004e25,3.95628829844846e11,1.0e-10,1.6656610946067173e7
2.9860000000000004e25,4.4647895364260455e11,1.0e-10,1.6665568572695354e7
2.9860000000000004e25,5.0386483746387146e11,1.0e-10,1.6645144419936072e7
2.9860000000000004e25,5.686265217233893e11,1.0e-10,1.6651697325832814e7
2.9860000000000004e25,6.417120171248813e11,1.0e-10,1.664713407592826e7
2.9860000000000004e25,7.241911820687164e11,1.0e-10,1.6650533624712653e7
2.9860000000000004e25,8.172713837210608e11,1.0e-10,1.6636068085002437e7
2.9860000000000004e25,9.223151719982683e11,1.0e-10,1.663272016954309e7
2.9860000000000004e25,1.0408602251862667e12,1.0e-10,1.6659136865763824e7
2.9860000000000004e25,1.1746418591678938e12,1.0e-10,1.6621863023117214e7
2.9860000000000004e25,1.3256184297584172e12,1.0e-10,1.6608535446975317e7
2.9860000000000004e25,1.4960000000000024e12,1.0e-10,1.6592707471837409e7
2.9860000000000004e25,4.4880000000000084e10,1.0e-12,1.6391608948360877e7
2.9860000000000004e25,5.064842076179947e10,1.0e-12,1.6078391555643804e7
2.9860000000000004e25,5.7158255919435715e10,1.0e-12,1.5873943685774967e7
2.9860000000000004e25,6.450479937206279e10,1.0e-12,1.5627636755137518e7
2.9860000000000004e25,7.27955931317221e10,1.0e-12,1.5481806702549664e7
2.9860000000000004e25,8.215200157175165e10,1.0e-12,1.5281315665332248e7
2.9860000000000004e25,9.271098801314798e10,1.0e-12,1.5089927748874465e7
2.9860000000000004e25,1.0462711965534886e11,1.0e-12,1.5052393372035922e7
2.9860000000000004e25,1.1807483020051779e11,1.0e-12,1.4925731478976713e7
2.9860000000000004e25,1.3325097329264297e11,1.0e-12,1.4742738745342124e7
2.9860000000000004e25,1.5037770414984564e11,1.0e-12,1.46758547940325e7
2.9860000000000004e25,1.697057315725215e11,1.0e-12,1.4596254942474157e7
2.9860000000000004e25,1.9151798793168564e11,1.0e-12,1.4605691196179012e7
2.9860000000000004e25,2.1613377086045517e11,1.0e-12,1.4577651845302213e7
2.9860000000000004e25,2.4391341727661914e11,1.0e-12,1.4523568324959971e7
2.9860000000000004e25,2.752635781567402e11,1.0e-12,1.4489546132740766e7
2.9860000000000004e25,3.106431712763152e11,1.0e-12,1.4441392827103434e7
2.9860000000000004e25,3.50570099054869e11,1.0e-12,1.4451085748279862e7
2.9860000000000004e25,3.95628829844846e11,1.0e-12,1.438002234886707e7
2.9860000000000004e25,4.4647895364260455e11,1.0e-12,1.4381286235268464e7
2.9860000000000004e25,5.0386483746387146e11,1.0e-12,1.4357430686431969e7
2.9860000000000004e25,5.686265217233893e11,1.0e-12,1.4340226216908408e7
2.9860000000000004e25,6.417120171248813e11,1.0e-12,1.4331649188070668e7
2.9860000000000004e25,7.241911820687164e11,1.0e-12,1.4338217614613289e7
2.9860000000000004e25,8.172713837210608e11,1.0e-12,1.4334810902871009e7
2.9860000000000004e25,9.223151719982683e11,1.0e-12,1.4324487018845677e7
2.9860000000000004e25,1.0408602251862667e12,1.0e-12,1.4460660796545304e7
2.9860000000000004e25,1.1746418591678938e12,1.0e-12,1.431624795376595e7
2.9860000000000004e25,1.3256184297584172e12,1.0e-12,1.428701648459931e7
2.9860000000000004e25,1.4960000000000024e12,1.0e-12,1.4277651943826875e7
2.9860000000000004e25,4.4880000000000084e10,1.0e-14,1.6287929190762872e7
2.9860000000000004e25,5.064842076179947e10,1.0e-14,1.5942540744813742e7
2.9860000000000004e25,5.7158255919435715e10,1.0e-14,1.5563642219047213e7
2.9860000000000004e25,6.450479937206279e10,1.0e-14,1.5331492855690978e7
2.9860000000000004e25,7.27955931317221e10,1.0e-14,1.4986493915183874e7
2.9860000000000004e25,8.215200157175165e10,1.0e-14,1.482557959436906e7
2.9860000000000004e25,9.271098801314798e10,1.0e-14,1.4683940207844617e7
2.9860000000000004e25,1.0462711965534886e11,1.0e-14,1.4587731691073623e7
2.9860000000000004e25,1.1807483020051779e11,1.0e-14,1.445608399804092e7
2.9860000000000004e25,1.3325097329264297e11,1.0e-14,1.4264331135026546e7
2.9860000000000004e25,1.5037770414984564e11,1.0e-14,1.4212972610518886e7
2.9860000000000004e25,1.697057315725215e11,1.0e-14,1.4084063257192329e7
2.9860000000000004e25,1.9151798793168564e11,1.0e-14,1.4072482934747854e7
2.9860000000000004e25,2.1613377086045517e11,1.0e-14,1.397998239338856e7
2.9860000000000004e25,2.4391341727661914e11,1.0e-14,1.3902099615165947e7
2.9860000000000004e25,2.752635781567402e11,1.0e-14,1.39160888053626e7
2.9860000000000004e25,3.106431712763152e11,1.0e-14,1.3780594966771474e7
2.9860000000000004e25,3.50570099054869e11,1.0e-14,1.367644957712812e7
2.9860000000000004e25,3.95628829844846e11,1.0e-14,1.362202250527128e7
2.9860000000000004e25,4.4647895364260455e11,1.0e-14,1.35399144059147e7
2.9860000000000004e25,5.0386483746387146e11,1.0e-14,1.3489694094565473e7
2.9860000000000004e25,5.686265217233893e11,1.0e-14,1.3483923975879392e7
2.9860000000000004e25,6.417120171248813e11,1.0e-14,1.3498575100930732e7
2.9860000000000004e25,7.241911820687164e11,1.0e-14,1.3482017258975886e7
2.9860000000000004e25,8.172713837210608e11,1.0e-14,1.3480666894867253e7
2.9860000000000004e25,9.223151719982683e11,1.0e-14,1.3419154397569653e7
2.9860000000000004e25,1.0408602251862667e12,1.0e-14,1.3394523359106204e7
2.9860000000000004e25,1.1746418591678938e12,1.0e-14,1.3361834328334922e7
2.9860000000000004e25,1.3256184297584172e12,1.0e-14,1.328431193675016e7
2.9860000000000004e25,1.4960000000000024e12,1.0e-14,1.3168855944319334e7
5.972000000000001e25,4.4880000000000084e10,1.0e-8,2.021158657186373e7
5.972000000000001e25,5.064842076179947e10,1.0e-8,2.0191305298872557e7
5.972000000000001e25,5.7158255919435715e10,1.0e-8,2.017013351305541e7
5.972000000000001e25,6.450479937206279e10,1.0e-8,2.0170702299675237e7
5.972000000000001e25,7.27955931317221e10,1.0e-8,2.0154377495320015e7
5.972000000000001e25,8.215200157175165e10,1.0e-8,2.0148033924337186e7
5.972000000000001e25,9.271098801314798e10,1.0e-8,2.0149423731953204e7
5.972000000000001e25,1.0462711965534886e11,1.0e-8,2.0164328870533522e7
5.972000000000001e25,1.1807483020051779e11,1.0e-8,2.016391344949235e7
5.972000000000001e25,1.3325097329264297e11,1.0e-8,2.0157831722188964e7
5.972000000000001e25,1.5037770414984564e11,1.0e-8,2.0128451117981825e7
5.972000000000001e25,1.697057315725215e11,1.0e-8,2.0155662192264687e7
5.972000000000001e25,1.9151798793168564e11,1.0e-8,2.0148658381215066e7
5.972000000000001e25,2.1613377086045517e11,1.0e-8,2.0143520704578973e7
5.972000000000001e25,2.4391341727661914e11,1.0e-8,2.0143246287463054e7
5.972000000000001e25,2.752635781567402e11,1.0e-8,2.0147419372942556e7
5.972000000000001e25,3.106431712763152e11,1.0e-8,2.014339094130498e7
5.972000000000001e25,3.50570099054869e11,1.0e-8,2.0143754277434852e7
5.972000000000001e25,3.95628829844846e11,1.0e-8,2.0164838246863116e7
5.972000000000001e25,4.4647895364260455e11,1.0e-8,2.012978048523078e7
5.972000000000001e25,5.0386483746387146e11,1.0e-8,2.0138651298543017e7
5.972000000000001e25,5.686265217233893e11,1.0e-8,2.0166099222728208e7
5.972000000000001e25,6.417120171248813e11,1.0e-8,2.0142977619760085e7
5.972000000000001e25,7.241911820687164e11,1.0e-8,2.013950016716506e7
5.972000000000001e25,8.172713837210608e11,1.0e-8,2.015326186276902e7
5.972000000000001e25,9.223151719982683e11,1.0e-8,2.019046114063631e7
5.972000000000001e25,1.0408602251862667e12,1.0e-8,2.012796870566257e7
