M_Mearth, R_Rearth
0.11085336223662692, 1.4854156361693744
0.13611578645586242, 1.5928808372515568
0.16612722882408054, 1.7014345699729936
0.202750515142804, 1.8097541731171922
0.24818962123047533, 1.919225551613149
0.30200270725469, 2.052597664892561
0.3685837352343146, 2.1867161919704072
0.4498465284376815, 2.332121559456414
0.5490145062823105, 2.479006631857804
0.6651803401967862, 2.611834891267121
0.793988587604489, 2.7477019694581313
0.9339081124149952, 2.919510620503313
1.1329314627668505, 3.0998049379483485
1.376383790821107, 3.269252442085015
1.6899534913825374, 3.473685604070114
2.0593678700859694, 3.6840763388986533
2.5273295184215576, 3.905665312619555
3.07585680851493, 4.140092901876125
3.743639244155344, 4.427812785588873
4.562134942395449, 4.633877436789668
5.575753564960987, 4.948225906303914
6.766503648662594, 5.175203467550494
8.257904648598254, 5.472437597877916
10.133929934809752, 5.75828233944888
12.43157320021003, 6.08810301176996
14.944703257262665, 6.391596856528775
18.587781395486374, 6.82829374248279
20.67743405644416, 7.013280476216678
24.946753137152594, 7.399316611886911
30.444467431648786, 7.791393713259719
37.27835322312253, 8.148801739006936
45.33792340103418, 8.524411888325693
53.3579202498374, 8.789600469311056
67.44300068339075, 9.238816379926675
85.63891182959289, 9.711176610221774
103.55093747193622, 10.025328062546988
124.43844485232248, 10.46608436115949
162.66397063461392, 10.986265680448103
240.70255308468393, 11.503632525074623
348.16975731366637, 11.954930271086015
464.3865004809558, 12.210615289325434
568.2946388498603, 12.341522127407641
827.020563029951, 12.53660146529658
1341.35436036045, 12.641801516523085
1636.3862876096089, 12.571093317274082
1996.2585045721428, 12.44743950703771
2265.460033316187, 12.377535156351433
3825.469351841208, 11.739084443249787
4666.4469394698635, 11.495918329309305
5692.25242640898, 11.241753976719362
6868.3152902722195, 10.905188471641281
8469.357124840782, 10.632058544410382
