M_Mearth, R_Rearth
0.1, 0.51
0.13170211284995448, 0.546464573370202
0.15421424817086407, 0.5761423697887578
0.18951311421445866, 0.6123551770760839
0.23255646385755163, 0.6511025408545179
0.2751374459888647, 0.6914574622759122
0.33530604348610377, 0.7371589134438815
0.40717534601402866, 0.7803267339389415
0.4738476098076544, 0.8160093743363822
0.5825148382102526, 0.8681339564868487
0.7148388625407951, 0.9272510216381049
0.9171347548174704, 1.002792668011766
1.10382037444878, 1.0598591397391344
1.3645365675839, 1.1287869200447884
1.6721636661642334, 1.2013884022369585
1.975487016436147, 1.2603736312099758
2.4520774724658363, 1.3299930741112758
3.043924781438593, 1.4246030338717413
3.591192589352167, 1.4987891583057498
4.438050830886479, 1.578890631082857
5.895656284335893, 1.6883599843606665
7.258334816190284, 1.7885686807036398
8.62238248280885, 1.8725160578573286
10.758051825648675, 1.9842113873769431
13.173891088556191, 2.082066085469947
15.65120949241271, 2.172079457434707
19.538844445413137, 2.2799967147809257
23.868982504673582, 2.3684184752745243
28.562625379266485, 2.454763234714518
35.600157997583686, 2.585179787469913
42.837596300724705, 2.7067142727977824
52.77306042610674, 2.782921902422669
64.86890461238877, 2.885372889724343
77.52852846765951, 2.9706116032093974
96.06137351835746, 3.0723572792488802
116.75465110124667, 3.137103985474826
142.18710347478046, 3.1926120465120356
175.45732832822665, 3.2904172201790622
210.48909033167067, 3.3254764047100074
260.4486681729358, 3.36233624856814
313.32289841832755, 3.386287800905869
382.25880991506506, 3.396710639377158
466.35174439912095, 3.395300971904114
568.92412712173, 3.3743280963875044
694.1017660826126, 3.3890870599348855
846.8061026908504, 3.393715305036404
1033.1035702968577, 3.39713909826564
1260.3590705758695, 3.388484171738516
1537.6677045766376, 3.4025417612677766
1875.985377362843, 3.4150554608525403
2288.694850651579, 3.4166485356200025
2792.18024613932, 3.414530652616957
3406.2649891155606, 3.386080942434144
4149.034083577827, 3.342496876808064
5068.937517845545, 3.2906924528967396
6183.470921966316, 3.239289343732322
7542.872704818851, 3.1755961163676996
9200.755779032666, 3.0924433229969273
