M_Mearth, R_Rearth
0.11002496275763365, 0.7131062369051798
0.13307021417290285, 0.7567389461690253
0.16240518305822257, 0.804274728851926
0.19821055679035954, 0.8573318476537628
0.2418992917271048, 0.9073477520144401
0.29522249631031294, 0.9628286134694714
0.3603024028089736, 1.0228021266408738
0.43974220991598734, 1.091959477124393
0.5366544315708167, 1.1507791351687913
0.6549412660423449, 1.2178318046223164
0.7993197209519579, 1.2939146461366537
0.9754876916576953, 1.366028058114725
1.190484413312968, 1.4425155470828879
1.4528321205655954, 1.5174473722300519
1.7729914840866523, 1.5959694016898667
2.1720825570903433, 1.6761415254444596
2.6779202943861478, 1.7670748992484238
3.2224112100759466, 1.8572283333165729
2.997277871761422, 1.8216815476310588
3.6912614655629445, 1.938625776222352
4.491395518991023, 2.0572300321546337
5.447919369271054, 2.143445999713645
6.648614897449192, 2.2622597749368407
8.113574882387196, 2.370251838752806
9.90160013486387, 2.494704426805079
12.083536150433783, 2.621273429175705
14.853497845197221, 2.760251300712729
17.996075881179788, 2.9010335609483446
21.96066121141636, 3.024139197444565
26.7991423957937, 3.1618441583144348
32.70429599019179, 3.3163205292963513
39.90820999829819, 3.4438610898587565
48.70021302703094, 3.5913747117364103
59.42721611330723, 3.7253973013086865
72.51846095790393, 3.877051657460802
88.48852192242555, 3.997337669029915
107.97956768418027, 4.146694690730661
131.7560373161448, 4.260207933558044
160.7727747212937, 4.398372112101381
197.53474019026274, 4.489195558300576
239.34738099820646, 4.570147372426578
290.26796987733366, 4.622257890775777
356.28752822577803, 4.670211122893192
434.6938871071713, 4.715630419399693
530.3658257897017, 4.777808010996189
647.0723771198856, 4.8141416260932415
789.422253681566, 4.8128722187832835
963.0877729342824, 4.8116031461944555
1174.9247936639192, 4.788102084435307
1433.3566571615004, 4.76471580768378
1748.5902610451383, 4.722894598396248
2133.1266257945163, 4.6722742836087825
2602.1705213199803, 4.605754824513198
3174.3746447620306, 4.545848503834461
3872.195943309245, 4.447562172038593
4723.169538102641, 4.313991143645258
5761.2988367705575, 4.2012558447049475
7027.777967503899, 4.108077089604436
8572.16985301151, 3.9794942026406908
9815.55858048399, 3.8969724317173817
