M_Mearth, R_Rearth
0.11063027197022948, 0.39897233776740704
0.13501938597132754, 0.4245326440357106
0.16478450968720024, 0.4514086505897011
0.20110874708957402, 0.47896095378305714
0.2454417146350611, 0.5087385170465009
0.29954691110738635, 0.5401748628759008
0.3655766722634098, 0.5729409236044521
0.44615956896357284, 0.6072615715473683
0.5445039091278571, 0.6434087984024084
0.6645242677663639, 0.6814648073813517
0.8109943890641943, 0.7210005444513123
0.9897528170912033, 0.7633738360504361
1.207891906428724, 0.8059365955736806
1.4741083151487229, 0.850872489219004
1.7989981663303989, 0.8983138337258385
2.1954881575075773, 0.9480624249288663
2.6793391556479254, 0.999140916909765
3.2698090372611484, 1.0522211736801907
3.9904060363605525, 1.1081213666689513
4.8697543590625, 1.1649138958372012
5.942854920248063, 1.223744645549232
7.252408443032714, 1.2850884617011522
8.850493518726136, 1.3485458776987336
10.800484961762029, 1.410103000459536
13.180224596407426, 1.476573207482075
16.08420225394431, 1.544524685433799
19.627538068714184, 1.6092828167240827
23.95146769211715, 1.6767560976055376
29.227827860032804, 1.7458136970045026
35.66622659570224, 1.815126353861289
43.522232252724606, 1.8824892931701451
53.10782728749187, 1.9474882845110681
64.80461072907167, 2.0147315748717336
79.07601213602595, 2.077622788159951
96.489028409768, 2.137901308922599
117.7346999924909, 2.194447992698507
143.65746218515696, 2.2500836044472274
175.28559184489407, 2.3022021921510385
213.87381825602776, 2.349659643085811
260.95477032359827, 2.3946796079357866
318.39568869148303, 2.4353496328733897
388.47701717392465, 2.473182629207042
473.97861736980246, 2.5071323449291234
578.296116697782, 2.5397373977896818
705.565065520421, 2.568186583887579
860.8371945292274, 2.5941796882086625
1050.2774253038692, 2.6195022584151575
1281.3872915471695, 2.6384823078085478
1563.3248156328511, 2.6500344702480305
1907.2832354900959, 2.6587933416759126
2326.8727965510607, 2.659039632171733
2838.713572999178, 2.6507709758888787
3463.0832674619996, 2.635005527166373
4224.735859189692, 2.6146710539668083
5153.733885750842, 2.580662443305493
6287.0001726055325, 2.5461886916192977
7464.226479109025, 2.508240468283438
