pressure, alpha
# GPa, K-1
0.22806145683671541, 0.0005889369802753858
0.24515208621704643, 0.000576867501575654
0.2719249374566397, 0.0005651838872507091
0.30142467697166864, 0.0005524552575682546
0.344068394923978, 0.0005384246415387386
0.3795393601002648, 0.0005258616153828839
0.414939647210977, 0.0005142408161887184
0.4541612617337467, 0.0005028224213048416
0.4904489512233374, 0.000492157807990316
0.5382775835093931, 0.00048107442713726204
0.5951969856519996, 0.00047027022464322704
0.6694426107268516, 0.00045864045185895006
0.7307184742065791, 0.0004472978339582356
0.7900778776309847, 0.0004359312864838909
0.8662662146140863, 0.0004239754732589025
0.9447537352473854, 0.00041333459010489356
1.0362058405369803, 0.0004024755671330876
1.1319133650668332, 0.0003924251462084038
1.227593475074281, 0.0003827401951355268
1.3232119024063187, 0.0003738775512292147
1.4187892079547502, 0.0003655631121006127
1.5143288185348744, 0.0003577511940182449
1.6098238805160916, 0.0003505331644450629
1.7052881011596037, 0.00034372628845516344
1.8007386145419129, 0.00033710214739116734
1.8961617134018178, 0.0003308434761789779
1.991550544108717, 0.0003250416422815469
2.0869188139238126, 0.0003195139107729708
2.182287083738908, 0.00031398617926439476
2.2776553535540036, 0.0003084584477558187
2.372989355216094, 0.000303387553562001
2.4682993691710795, 0.00029863644548851415
2.555140580246569, 0.0002917077462146791
2.625095261429214, 0.00027974295939957945
2.6863711249089413, 0.0002684003414988649
2.730447312850023, 0.00025619625894746323
2.7788891166205287, 0.000243331720163868
2.822943226080174, 0.00023142197136811782
2.8670048745334804, 0.0002194117183631207
2.9109986720438354, 0.0002083060032413452
2.9585121515494146, 0.00019735561280658745
3.004078514601204, 0.0001862087823264837
3.055962211659611, 0.0001745365889344078
3.1133151059377413, 0.0001631841816626627
3.16912421992296, 0.0001514891464048489
3.2312133683482545, 0.0001397659980815115
3.3017899474695502, 0.00013389519932021786
3.3870696730397434, 0.00013339838874041818
3.4820918345094807, 0.00013248471411090148
3.5771037155333163, 0.00013170809067581226
3.672119023372452, 0.00013088578350924725
3.7671343312115884, 0.00013006347634268224
3.8621564926813248, 0.00012914980171316542
3.9571615200745596, 0.000128464545741028
4.052169974283095, 0.00012773360603741458
4.14717842849163, 0.00012700266633380126
4.242204016776667, 0.00012604330797280866
4.337215897800503, 0.00012526668453771955
4.4322277788243385, 0.00012449006110263033
4.5272293794022715, 0.0001238504888619686
4.622244687241408, 0.00012302818169540358
4.7172599950805445, 0.00012220587452883857
4.812254742027877, 0.00012165766975112853
4.907256342605811, 0.0001210180975104668
5.002278504075548, 0.00012010442288095009
5.097276677838181, 0.00011951053437176426
5.192278278416114, 0.00011887096213110263
5.2872970130705506, 0.00011800297123306172
