NAME,PER,R,SEP,DATE,PLANETDISCMETH,MASS,MSINI
# ,day,rearth,au,,,mearth,mearth
HD 104067 b,55.806,,0.264333,2011,RV,59.09323164607813,59.09323164607813
Kepler-1452 b,42.913751,2.701364356156222,0.268995,2016,Transit,7.066906608416189,
Kepler-229 b,6.252972,2.199997857042066,0.0664249,2014,Transit,5.247088691372904,
Kepler-638 b,6.07972888,1.8270638591430048,0.0624727,2016,Transit,4.276158943456864,
Kepler-144 c,10.104665,1.3499984302535237,0.0914719,2014,Transit,2.637321695791905,
Kepler-1372 b,1.31155557,1.266614822596071,0.023292,2016,Transit,2.1237236953901775,
Kepler-758 e,8.1934719,1.5244213794076606,0.083574,2016,Transit,3.9492845586019882,
HD 20794 b,18.315,,0.120738,2011,RV,2.697242839710756,2.697242839710756
Kepler-94 b,2.50806,3.5096775836064027,0.033677,2014,Transit,10.839548694385858,
Kepler-115 c,8.990889,2.5999903344256126,0.0846204,2014,Transit,6.639538611027417,
Kepler-320 c,17.934937,1.3699952518775182,0.134093,2014,Transit,2.7711669835291755,
Kepler-1478 b,26.0840594,1.7261830325645569,0.174395,2016,Transit,4.052034669077031,
HD 195019 b,18.20132,,0.136688,1999,RV,1137.748509089083,1137.748509089083
Kepler-274 c,33.197861,1.839999022906508,0.202153,2014,Transit,4.305874796625488,
Kepler-1627 b,7.20283653,3.687754660478826,0.0696812,2016,Transit,13.401404835793912,
GJ 832 b,3657,,3.56153,2009,RV,217.38719785075824,217.38719785075824
Kepler-889 b,3.744439,1.087271130901052,0.0492984,2016,Transit,1.2486855754745403,
Kepler-26 e,46.827915,2.409998111036202,0.254259,2014,Transit,5.924069855378126,
GJ 667 C b,7.1999,,0.0504277,2011,RV,5.56023339861404,5.56023339861404
Kepler-254 d,18.746477,2.4999950173249084,0.138108,2014,Transit,6.249736537109571,
Kepler-592 b,2.82019241,2.3875128956899387,0.0395795,2016,Transit,5.846204785577984,
CoRoT-19 b,3.89713,14.459585142910898,0.0516604,2012,Transit,352.1153801345787,351.89926483880686
Kepler-264 b,40.806231,3.3299976224894556,0.231966,2014,Transit,10.58558144019283,
Kepler-604 b,25.85501786,2.589274548846835,0.172254,2016,Transit,6.596283770211911,
Kepler-557 b,3.70598955,2.667737413963406,0.048527,2016,Transit,6.921410163703926,
Kepler-1237 b,84.5733226,2.8582900863893634,0.369378,2016,Transit,7.797948378025509,
Kepler-122 c,12.465988,5.869986283062353,0.105218,2014,Transit,36.67571914231194,
Kepler-142 b,2.024152,1.9899976030479296,0.0313162,2014,Transit,4.669361655117003,
alpha Ari b,380,,1.1296,2011,RV,545.5703515114994,545.5703515114994
Kepler-1450 b,54.5094166,1.714974051833618,0.251,2016,Transit,4.027912388269559,
Kepler-148 d,51.84688575,8.675751085746539,0,2016,Transit,136.13483860600581,
