radius, density
48.69324349265503, 13119.6554444041
185.38970250731518, 13117.133520659205
327.5780830468914, 13069.216969506184
469.7637839467875, 13026.344265842956
606.4749809796899, 12996.081180904206
743.194216931633, 12950.686553496082
890.8571013382034, 12890.160383618584
1027.5830363893474, 12832.156137485981
1164.3305760354147, 12733.485870966933
1204.8391719835522, 12721.555174385361
1212.5090070840497, 12173.623022679625
1268.5190928442576, 12168.37434453966
1383.377822193661, 12102.815790462118
1459.7662653733737, 12042.595769010863
1740.24681927129, 11875.833809796073
1831.8881074432434, 11819.918994378433
1968.6550744769934, 11684.680833558397
2105.4073034925013, 11577.183833932215
2242.16589665225, 11457.707696517777
2382.215388798956, 11319.001890548509
2510.2206374833154, 11208.667726709318
2648.261637117877, 11065.84715075281
2783.767969749217, 10912.972167620286
2926.0176470464817, 10749.677605138284
3106.5841620432625, 10506.942444692064
3303.567154586862, 10239.618527733111
3429.445684908567, 10015.587635061536
3486.355656263638, 9922.336573279967
3496.025217347433, 5610.348770726128
3546.6354429660737, 5562.367044131388
3666.9697784887935, 5482.124015884705
3787.2955878852576, 5417.929593287357
3907.6188394438464, 5358.549752384812
4027.9455014529362, 5292.75046922253
4148.271310849401, 5228.556046625183
4268.59797285849, 5162.756763462901
4388.922077029703, 5101.772061995423
4509.251296876671, 5031.15819713834
4629.576253660511, 4968.568635105927
4749.903768282225, 4901.164491378713
4870.2295776786905, 4836.970068781366
4990.557944913031, 4767.961064489215
5090.2941010383365, 4740.804269106155
5378.166047178318, 4550.219172860681
5460.931541251683, 4499.949350145291
5581.259055873399, 4432.545206418075
5703.709039966465, 4341.052774980606
5706.817215585303, 3990.3754526396006
5756.468676794762, 3981.044434150068
5821.212932674167, 3942.7291785782345
5893.220849984444, 3873.6525146799213
5986.250905632693, 3728.0114184121903
5987.481288639914, 3478.178006479893
6013.3131920064425, 3466.2664379645503
6308.532232661009, 3335.239184295786
6385.636685276746, 3283.732518686382
6422.946934490223, 3251.858204688393
