# MPa, kg m-3
pressure, density
13.186422383024247, 8275.566686047041
18.906029378549267, 8277.89459369005
27.106514297822144, 8280.223156170892
38.86395724168794, 8282.552373673736
55.72118775172443, 8284.882246382855
79.89023724872939, 8287.212774482574
114.5434039103351, 8309.723530373285
164.22542789368967, 8291.875797591227
235.467191827136, 8405.868371368677
337.60101997789485, 8408.232932729876
484.0353673295912, 8410.598159239538
694.0097691296238, 8515.863913299538
995.0397804512222, 8528.621285791425
1426.6380050326836, 8531.02037741001
2045.441837994343, 8533.420143890398
2932.6618845094335, 8546.20381686988
4204.967048019727, 8737.733978772121
6028.933383698384, 8772.126212694175
8644.102097446757, 8817.366497684754
12394.25679157759, 9014.973724125966
17771.501414508315, 9239.446892828162
25482.195102760877, 9538.833967258908
36538.274851472524, 9835.957365113783
52392.03857458242, 10191.775705796139
75129.64326751117, 10807.231841519506
107734.75838380502, 11445.930673807194
154489.99435135108, 12122.376100629703
221537.05944261127, 12854.416420790581
317700.6903977631, 13915.29541939373
455614.4627427726, 15155.572150799684
653398.8395927562, 16526.474202902125
937042.3427980453, 18021.381631888897
1343849.6207866722, 19819.4561367714
1927321.8458120755, 22009.953534418604
2764193.3306749174, 24651.440041495796
3964460.5424585473, 27643.525552937732
5685867.77869839, 30923.4991787733
8155011.075056503, 35015.75629725948
11696852.431980988, 40183.34058767575
16776967.628409, 46113.55091340764
24063619.441197407, 53047.75743495089
34516247.73405048, 61771.07676319673
49511477.81250258, 73074.67590306631
71021231.9156476, 86446.7407425817
101875323.03219177, 102141.53543059435
146135032.07556933, 121126.74424186655
209639441.0451068, 147534.3001193301
300746604.2800141, 181014.6668220754
431446507.25087327, 221822.99349647772
618957391.9132015, 273488.58109447773
888027365.9246894, 345906.8490098137
1274088266.7006204, 440168.5044454884
1827991606.546964, 560798.3600022232
2622893625.019967, 732962.6297754917
3763576828.82178, 968520.1081846554
5400243257.100488, 1272024.895970711
7623357646.085, 1715275.692087617
10586431198.6899, 2281118.611751709
14701428175.386553, 3049894.816184966
20085035102.38549, 4128922.9095624574
26993026752.478912, 5493298.426344677
36277707002.95308, 7363021.732949158
47965050010.33276, 9942598.228497734
62384936316.80619, 13235098.864332084
81139530137.73671, 17588489.072975494
105533272393.8974, 23452102.771127097
137267974257.06203, 31850815.710443374
175635591065.37717, 42428085.01755799
224732838125.18, 57005897.71441479
287553174764.9376, 76446302.41093883
344499997958.20416, 92286771.80026382
